crop,pest_common_name,pest_scientific_name,pest_order,pest_family,pest_distribution
Agave (Agave sisalana),grey pineapple mealybug,Dysmicoccus neobrevipes Beardsley,Homoptera,Pseudococcidae,M=x
Agave (Agave sisalana),oriental scale,Aonidiella orientalis (Newstead),Homoptera,Diaspididae,Y=xM=x
Avocado (Persea americana),coconut scale,Aspidiotus destructor Signoret,Homoptera,Diaspididae,B=xY=xT=xP=xM=x
Avocado (Persea americana),egyptian fluted scale,Icerya aegyptiaca (Douglas),Homoptera,Margarodidae,B=xY=xT=xP=xM=x
Avocado (Persea americana),florida wax scale,Ceroplastes floridensis Comstock,Homoptera,Coccidae,B=xP=xM=x
Avocado (Persea americana),latania scale,Hemiberlesia lataniae (Signoret),Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=x
Avocado (Persea americana),long brown scale,Coccus longulus (Douglas),Homoptera,Coccidae,B=xM=x
Avocado (Persea americana),long-tailed mealybug,Pseudococcus longispinus (Targioni-Tozzetti),Homoptera,Pseudococcidae,T=?
Avocado (Persea americana),melon fly,Dacus cucurbitae Coquillett,Diptera,Tephritidae,M=x
Avocado (Persea americana),palm scale,Hemiberlesia palmae (Cockerell),Homoptera,Diaspididae,B=xY=xT=YP=xK=xM=x
Avocado (Persea americana),phytorus leaf beetle,Phytorus lineolatus Weise,Coleoptera,Chrysomelidae,M=x
Avocado (Persea americana),redbanded thrips,Selenothrips rubrocinctus (Giard),Thysanoptera,Thripidae,B=nY=nT=nP=x?M=x
Avocado (Persea americana),scale,Aspidiotus spinosus Comstock,Homoptera,Diaspididae,Y=x
Avocado (Persea americana),seychelles scale,Icerya seychellarum (Westwood),Homoptera,Margarodidae,B=?Y=x
Avocado (Persea americana),tea shot-hole borer,Xyleborus fornicatus Eichhoff,Coleoptera,Scolytidae,B=xY=xP=x
Avocado (Persea americana),tessellated scale,Eucalymnatus tessellatus (Signoret),Homoptera,Coccidae,B=xY=nT=xP=xK=x
Avocado (Persea americana),weevil,Trigonops sp. ,Coleoptera,Curculionidae,B=xY=xT=xP=xM=x
Bamboo (Bambusa),bamboo longhorn,Chlorophorus annularis (F.),Coleoptera,Cerambycidae,M=x
Bamboo (Bambusa),bamboo scale,Asterolecanium bambusae (Boisduval),Homoptera,Asterolecaniidae,B=xT=nM=x
Bamboo (Bambusa),bamboo scale,Asterolecanium coronatum Green,Homoptera,Asterolecaniidae,B=x
Bamboo (Bambusa),bamboo scale,Asterolecanium miliaris (Boisduval),Homoptera,Asterolecaniidae,B=xP=xM=x
Bamboo (Bambusa),bamboo scale,Asterolecanium pseudolanceolatum Takahashi,Homoptera,Asterolecaniidae,P=?
Bamboo (Bambusa),bamboo scale,Asterolecanium pseudomiliaris Green,Homoptera,Asterolecaniidae,P=xM=G
Bamboo (Bambusa),bamboo scale,Asterolecanium robustum Green,Homoptera,Asterolecaniidae,B=xP=xM=G
Bamboo (Bambusa),chafer beetle,Anomala sulcatula Burmeister,Coleoptera,Scarabaeidae,M=x
Bamboo (Bambusa),mirid,Pseudoloxops bifasciatus (Usinger),Hemiptera,Miridae,M=RG
Banana (Musa),banana aphid,Pentalonia nigronervosa Coquerel,Homoptera,Aphididae,B=xY=xT=xP=xK=nM=x
Banana (Musa),banana corm weevil,Polytus mellerborgi (Boheman),Coleoptera,Curculionidae,M=x
Banana (Musa),banana leafroller,Erionota thrax (L.),Lepidoptera,Hesperiidae,M=x
Banana (Musa),banana root borer,Cosmopolites sordidus (Germar),Coleoptera,Curculionidae,P=nM=x
Banana (Musa),black thread scale,Ischnaspis longirostris (Signoret),Homoptera,Diaspididae,B=xM=G
Banana (Musa),boisduval scale,Diaspis boisduvalii Signoret,Homoptera,Diaspididae,B=x
Banana (Musa),brown soft scale,Coccus hesperidum L.,Homoptera,Coccidae,B=xY=xT=xM=x
Banana (Musa),california red scale,Aonidiella aurantii (Maskell),Homoptera,Diaspididae,B=?T=?M=?
Banana (Musa),chinese rose beetle,Adoretus sinicus Burmeister,Coleoptera,Scarabaeidae,B=xM=x
Banana (Musa),citrus mealybug,Planococcus citri (Risso),Homoptera,Pseudococcidae,B=xY=xT=xP=xK=xM=x
Banana (Musa),coconut scale,Aspidiotus destructor Signoret,Homoptera,Diaspididae,B=xY=xT=xP=xM=x
Banana (Musa),cotton or melon aphid,Aphis gossypii Glover,Homoptera,Aphididae,B=xY=xT=xP=xK=xM=x
Banana (Musa),derbid planthopper,Lamenia caliginea Stål,Homoptera,Derbidae,B=xY=xT=xP=xK=xM=x
Banana (Musa),dictyospermum scale,Chrysomphalus dictyospermi (Morgan),Homoptera,Diaspididae,B=xT=xM=x
Banana (Musa),egyptian fluted scale,Icerya aegyptiaca (Douglas),Homoptera,Margarodidae,B=xY=xT=xP=xM=x
Banana (Musa),erect-winged blue plant hopper ,Proutista moesta (Westwood),Homoptera,Derbidae,B=xP=nM=x
Banana (Musa),fruit piercing moth,Eudocima (Othreis) fullonia (Clerck),Lepidoptera,Noctuidae,B=nP=nK=nM=x
Banana (Musa),green scale,Coccus viridis (Green),Homoptera,Coccidae,B=xY=xT=xP=xK=nM=x
Banana (Musa),grey pineapple mealybug,Dysmicoccus neobrevipes Beardsley,Homoptera,Pseudococcidae,M=x
Banana (Musa),hemispherical scale,Saissetia coffeae (Walker),Homoptera,Coccidae,B=xY=xT=xP=xM=x
Banana (Musa),inornate scale,Aonidiella inornata Mackenzie,Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=G
Banana (Musa),javanese grasshopper,Valanga nigricornis (Burmeister),Orthoptera,Acrididae,B=xY=xT=x
Banana (Musa),large short-horn grasshopper ,Valanga excavata Stål,Orthoptera,Acrididae,M=x
Banana (Musa),latania scale,Hemiberlesia lataniae (Signoret),Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=x
Banana (Musa),leaf-footed plant bug,Leptoglossus australis (F.),Hemiptera,Coreidae,B=xP=xM=x
Banana (Musa),mealybug,Pseudococcus microadonidum Beardsley,Homoptera,Pseudococcidae,T=xP=x
Banana (Musa),orchid mealybug,Pseudococcus orchidicola Takahashi,Homoptera,Pseudococcidae,T=xK=xM=C
Banana (Musa),rice cutworm,Spodoptera litura (F.),Lepidoptera,Noctuidae,B=xY=?T=xP=xK=?M=x
Banana (Musa),scale,Aspidiotus excisus Green,Homoptera,Diaspididae,B=xM=C
Banana (Musa),steatococcus scale,Steatococcus samaraius Morrison,Homoptera,Margarodidae,B=xY=xM=G
Banana (Musa),striped mealybug,Ferrisia virgata (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
Banana (Musa),tessellated scale,Eucalymnatus tessellatus (Signoret),Homoptera,Coccidae,B=xY=nT=xP=xK=x
Banana (Musa),weevil,Trigonops sp. ,Coleoptera,Curculionidae,B=xY=xT=xP=xM=x
Beans (Phaseolus),bean butterfly,Lampides boeticus (L.),Lepidoptera,Lycaenidae,B=xY=xT=xM=x
Beans (Phaseolus),bean fly,Ophiomyia phaseoli (Tryon),Diptera,Agromyzidae,B=xY=xT=xM=x
Beans (Phaseolus),bean leaf-roller,Lamprosema diemenalis (Guenée),Lepidoptera,Pyralidae,M=G
Beans (Phaseolus),bean pod borer,Maruca testulalis (Geyer),Lepidoptera,Pyralidae,B=nM=x
Beans (Phaseolus),black garden fleahopper,Halticus tibialis Reuter,Hemiptera,Miridae,B=xY=xT=xP=xK=xM=x
Beans (Phaseolus),black island stink bug,Brachyplatys insularis Ruckes,Hemiptera,Plataspididae,B=xY=nT=xP=nK=nM=x
Beans (Phaseolus),black island stink bug,Brachyplatys insularis Ruckes,Hemiptera,Plataspididae,B=xY=nT=xP=nK=nM=x
Beans (Phaseolus),black stink bug,Coptosoma xanthogramma (White),Hemiptera,Plataspididae,K=nM=n
Beans (Phaseolus),broad mite (Polyphagotarsonemus latus (Banks)) Acari,Tarsonemidae M=x,,,
Beans (Phaseolus),chinese rose beetle (Adoretus sinicus Burmeister) Coleoptera,Scarabaeidae B=x M=x,,,
Beans (Phaseolus),citrus mealybug,Planococcus citri (Risso),Homoptera,Pseudococcidae,B=xY=xT=xP=xK=xM=x
Beans (Phaseolus),cotton or melon aphid,Aphis gossypii Glover,Homoptera,Aphididae,B=xY=xT=xP=xK=xM=x
Beans (Phaseolus),cowpea aphid,Aphis craccivora Koch,Homoptera,Aphididae,Y=xT=xP=xK=xM=x
Beans (Phaseolus),eggplant horned planthopper,Leptocentrus taurus (F.),Homoptera,Membracidae,M=x
Beans (Phaseolus),green garden looper,Chrysodeixis chalcites (Esper),Lepidoptera,Noctuidae,B=nM=x
Beans (Phaseolus),green leafhopper,Empoasca pitiensis Metcalf,Homoptera,Cicadellidae,M=?
Beans (Phaseolus),green peach aphid,Myzus persicae (Sulzer),Homoptera,Aphididae,M=S
Beans (Phaseolus),lawn armyworm,Spodoptera mauritia Guenée,Lepidoptera,Noctuidae,M=x
Beans (Phaseolus),leaf beetle (Pagria signata) (Motschulsky) Coleoptera,Chrysomelidae M=G,,,
Beans (Phaseolus),leaf blotch miner moth,Acrocercops sp. ,Lepidoptera,Gracillariidae,B=x?T=x?P=x?M=C
Beans (Phaseolus),leaf-footed plant bug,Leptoglossus australis (F.),Hemiptera,Coreidae,B=xP=xM=x
Beans (Phaseolus),leafhopper,Exitianus capicola (Stål),Homoptera,Cicadellidae,Y=xT=xP=xK=xM=x
Beans (Phaseolus),lima-bean pod borer,Etiella zinckenella (Treitschke),Lepidoptera,Pyralidae,M=x
Beans (Phaseolus),litchi fruit moth,Cryptophlebia ombrodelta (Lower),Lepidoptera,Tortricidae,B=xM=x
Beans (Phaseolus),lygeid bug,Nysius pulchellus (Stål),Hemiptera,Lygaeidae,T=xK=xM=x
Beans (Phaseolus),melia tortricid,Adoxophyes melia Clarke,Lepidoptera,Tortricidae,M=x
Beans (Phaseolus),melon fly,Dacus cucurbitae Coquillett,Diptera,Tephritidae,M=x
Beans (Phaseolus),melon thrips,Thrips palmi Karny,Thysanoptera,Thripidae,Y=nM=G
Beans (Phaseolus),old world bollworm,Heliothis armigera (Hübner),Lepidoptera,Noctuidae,M=x
Beans (Phaseolus),onion thrips,Thrips tabaci Lindeman,Thysanoptera,Thripidae,B=xY=xM=x
Beans (Phaseolus),philippine katydid,Phaneroptera furcifera Stål,Orthoptera,Tettigoniidae,P=xM=x
Beans (Phaseolus),plume moth,Sphenarches caffer Zeller,Lepidoptera,Pterophoridae,M=G
Beans (Phaseolus),rice cutworm,Spodoptera litura (F.),Lepidoptera,Noctuidae,B=xY=?T=xP=xK=?M=x
Beans (Phaseolus),schield bug,Piezodorus hybneri (Gmelin),Hemiptera,Pentatomidae,B=xY=n?M=x
Beans (Phaseolus),serpentine leafminer,Liriomyza trifolii (Burgess),Diptera,Agromyzidae,Y=nP=nM=GS?
Beans (Phaseolus),southern green stink bug,Nezara viridula (L.),Hemiptera,Pentatomidae,B=xY=xT=xP=xM=x
Beans (Phaseolus),soybean fly,Melanagromyza sojae (Zehntner),Diptera,Agromyzidae,B=x
Beans (Phaseolus),spider mite (Tetranychus tumidus) Acari,Tetranychidae M=x,,,
Beans (Phaseolus),striped mealybug,Ferrisia virgata (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
Beans (Phaseolus),sweet potato hawk moth,Agrius convolvuli (L.),Lepidoptera,Sphingidae,B=xY=xT=xP=xM=x
Beans (Phaseolus),sweetpotato whitefly,Bemisia tabaci (Gennadius),Homoptera,Aleyrodidae,B=xP=?M=x
Beans (Phaseolus),truk bean bug,Lygus trukensis Carvalho,Hemiptera,Miridae,T=x
Beans (Phaseolus),vegetable leafminer,Liriomyza sativae Blanchard,Diptera,Agromyzidae,M=G
Bermuda grass (Cynodon),grass leaf-folder,Marasmia venilialis (Walker),Lepidoptera,Pyralidae,M=G
Bermuda grass (Cynodon),lawn armyworm,Spodoptera mauritia Guenée,Lepidoptera,Noctuidae,M=x
Bermuda grass (Cynodon),rhodesgrass mealybug,Antonina graminis (Maskell,Homoptera,Pseudococcidae,B=xT=xM=x
"Betel nut, Areca",armored scale,Lepidosaphes laterochitinosa Green,Homoptera,Diaspididae,B=xY=n?P=n?M=x
"Betel nut, Areca",coconut rhinoceros beetle,Oryctes rhinoceros (L.),Coleoptera,Scarabaeidae,B=x
"Betel nut, Areca",coconut scale,Aspidiotus destructor Signoret,Homoptera,Diaspididae,B=xY=xT=xP=xM=x
"Betel nut, Areca",coconut shot-hole borer,Xyleborus perforans (Wollaston),Coleoptera,Scolytidae,B=xY=xT=xP=xK=xM=x
"Betel nut, Areca",coconut weevil,Diocalandra frumenti (F.),Coleoptera,Curculionidae,B=xT=xM=G
"Betel nut, Areca",dictyospermum scale,Chrysomphalus dictyospermi (Morgan),Homoptera,Diaspididae,B=xT=xM=x
"Betel nut, Areca",egyptian fluted scale,Icerya aegyptiaca (Douglas),Homoptera,Margarodidae,B=xY=xT=xP=xM=x
"Betel nut, Areca",fern scale,Pinnaspis aspidistrae (Signoret),Homoptera,Diaspididae,B=xP=x
"Betel nut, Areca",greenhouse thrips,Heliothrips haemorrhoidalis (Bouché),Thysanoptera,Thripidae,M=G
"Betel nut, Areca",inday scale,Phenacaspis inday (Banks),Homoptera,Diaspididae,B=xY=xM=G
"Betel nut, Areca",latania aphid,Cerataphis lataniae (Boisduval),Homoptera,Aphididae,Y=xP=xM=x
"Betel nut, Areca",mango soft scale,Coccus mangiferae (Green),Homoptera,Coccidae,B=x
"Betel nut, Areca",moth,Agonoxena sp. ,Lepidoptera,Agonoxenidae,M=G
"Betel nut, Areca",moth,Batrachedra sp. ,Lepidoptera,Coleophoridae,M=G
"Betel nut, Areca",new guinea sugarcane weevil,Rhabdoscelus obscurus (Boisduval),Coleoptera,Curculionidae,B=xM=x
"Betel nut, Areca",oriental flower beetle,Protaetia orientalis (Gory &amp; Percheron),Coleoptera,Scarabaeidae,M=G
"Betel nut, Areca",palm mealybug,Palmicultor palmarum (Ehrhorn),Homoptera,Pseudococcidae,B=xY=xT=xP=xK=x
"Betel nut, Areca",palm scale,Hemiberlesia palmae (Cockerell),Homoptera,Diaspididae,B=xY=xT=YP=xK=xM=x
"Betel nut, Areca",pineapple mealybug,Dysmicoccus brevipes (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Betel nut, Areca",proteus scale,Parlatoria proteus (Curtis),Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=G
"Betel nut, Areca",scale,Lepidosaphes similis Beardsley,Homoptera,Diaspididae,B=xY=xP=xM=x
"Betel nut, Areca",scale,Lepidosaphes similis Beardsley,Homoptera,Diaspididae,B=xY=xP=xM=x
"Betel nut, Areca",tessellated scale,Eucalymnatus tessellatus (Signoret),Homoptera,Coccidae,B=xY=nT=xP=xK=x
"Betel nut, Areca",ti scale,Pinnaspis buxi (Bouché),Homoptera,Diaspididae,P=xM=G
"Breadfruit, Artocarpus altitis",breadfruit fruitfly,Dacus umbrosus F.,Diptera,Tephritidae,B=x
"Breadfruit, Artocarpus altitis",breadfruit twig borer weevil,Aclees porosus Pascoe,Coleoptera,Curculionidae,B=xY=x
"Breadfruit, Artocarpus altitis",breadfruit whitefly,Xenaleyrodes artocarpi Takahashi,Homoptera,Aleyrodidae,B=x
"Breadfruit, Artocarpus altitis",brown soft scale,Coccus hesperidum L.,Homoptera,Coccidae,B=xY=xT=xM=x
"Breadfruit, Artocarpus altitis",california red scale,Aonidiella aurantii (Maskell),Homoptera,Diaspididae,B=?T=?M=?
"Breadfruit, Artocarpus altitis",coccid scale,Coccus moestus De Lotto,Homoptera,Coccidae,B=xT=xM=x
"Breadfruit, Artocarpus altitis",coconut scale,Aspidiotus destructor Signoret,Homoptera,Diaspididae,B=xY=xT=xP=xM=x
"Breadfruit, Artocarpus altitis",coconut shot-hole borer,Xyleborus perforans (Wollaston),Coleoptera,Scolytidae,B=xY=xT=xP=xK=xM=x
"Breadfruit, Artocarpus altitis",cotton or melon aphid,Aphis gossypii Glover,Homoptera,Aphididae,B=xY=xT=xP=xK=xM=x
"Breadfruit, Artocarpus altitis",cottony-cushion scale,Icerya purchasi Maskell,Homoptera,Margarodidae,M=G
"Breadfruit, Artocarpus altitis",cowpea aphid,Aphis craccivora Koch,Homoptera,Aphididae,Y=xT=xP=xK=xM=x
"Breadfruit, Artocarpus altitis",egyptian fluted scale,Icerya aegyptiaca (Douglas),Homoptera,Margarodidae,B=xY=xT=xP=xM=x
"Breadfruit, Artocarpus altitis",florida red scale,Chrysomphalus aonidum (L.),Homoptera,Diaspididae,P=x
"Breadfruit, Artocarpus altitis",fruitfly,Dacus frauenfeldi Schiner,Diptera,Tephritidae,B=xY=xT=xP=xK=x
"Breadfruit, Artocarpus altitis",inornate scale,Aonidiella inornata Mackenzie,Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=G
"Breadfruit, Artocarpus altitis",latania scale,Hemiberlesia lataniae (Signoret),Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=x
"Breadfruit, Artocarpus altitis",lilac mealybug,Planococcus lilacinus (Cockerell),Homoptera,Pseudococcidae,M=G
"Breadfruit, Artocarpus altitis",long-tailed mealybug,Pseudococcus longispinus (Targioni-Tozzetti),Homoptera,Pseudococcidae,T=?
"Breadfruit, Artocarpus altitis",longhorn beetle,Ceresium unicolor (F.),Coleoptera,Cerambycidae,T=xP=xK=xM=x
"Breadfruit, Artocarpus altitis",marshall mealybug,Pseudococcus marshallensis Beardsley,Homoptera,Pseudococcidae,K=x
"Breadfruit, Artocarpus altitis",mealybug,Pseudococcus trukensis Beardsley,Homoptera,Pseudococcidae,T=xP=x
"Breadfruit, Artocarpus altitis",oleander pit scale,Asterolecanium pustulans (Cockerell),Homoptera,Asterolecaniidae,B=xT=xM=G
"Breadfruit, Artocarpus altitis",ono breadfruit planthopper,Phaciocephalus onoi Metcalf,Homoptera,Derbidae,T=x
"Breadfruit, Artocarpus altitis",palm scale,Hemiberlesia palmae (Cockerell),Homoptera,Diaspididae,B=xY=xT=YP=xK=xM=x
"Breadfruit, Artocarpus altitis",phytorus leaf beetle,Phytorus lineolatus Weise,Coleoptera,Chrysomelidae,M=x
"Breadfruit, Artocarpus altitis",red wax scale,Ceroplastes rubens Maskell,Homoptera,Coccidae,B=xY=nM=x
"Breadfruit, Artocarpus altitis",scale,Andaspis punicae (Laing),Homoptera,Diaspididae,B=xM=G
"Breadfruit, Artocarpus altitis",scale,Aspidiotus excisus Green,Homoptera,Diaspididae,B=xM=C
"Breadfruit, Artocarpus altitis",scale,Lepidosaphes similis Beardsley,Homoptera,Diaspididae,B=xY=xP=xM=x
"Breadfruit, Artocarpus altitis",scale,Lepidosaphes similis Beardsley,Homoptera,Diaspididae,B=xY=xP=xM=x
"Breadfruit, Artocarpus altitis",seychelles scale,Icerya seychellarum (Westwood),Homoptera,Margarodidae,B=?Y=x
"Breadfruit, Artocarpus altitis",stellate scale,Vinsonia stellifera Westwood,Homoptera,Coccidae,B=xY=nP=xK=n
"Breadfruit, Artocarpus altitis",white peach scale,Pseudaulacaspis pentagona (Targioni-Tozzetti),Homoptera,Diaspididae,B=xT=xM=x
"Cabbages and related crops, Brassica",black garden fleahopper,Halticus tibialis Reuter,Hemiptera,Miridae,B=xY=xT=xP=xK=xM=x
"Cabbages and related crops, Brassica",cabbage cluster caterpillar,Crocidolomia binotalis Zeller,Lepidoptera,Pyralidae,B=xM=x
"Cabbages and related crops, Brassica",cabbage serpentine leafminer,Liriomyza brassicae (Riley),Diptera,Agromyzidae,M=x
"Cabbages and related crops, Brassica",chinese rose beetle,Adoretus sinicus Burmeister,Coleoptera,Scarabaeidae,B=xM=x
"Cabbages and related crops, Brassica","corn earworm, tomato fruitworm",Heliothis zea (Boddie),Lepidoptera,Noctuidae,B=x?M=x?
"Cabbages and related crops, Brassica",cotton or melon aphid,Aphis gossypii Glover,Homoptera,Aphididae,B=xY=xT=xP=xK=xM=x
"Cabbages and related crops, Brassica",diamondback moth,Plutella xylostella (L.),Lepidoptera,Yponomeutidae,B=nM=x
"Cabbages and related crops, Brassica",green peach aphid,Myzus persicae (Sulzer),Homoptera,Aphididae,M=S
"Cabbages and related crops, Brassica",melia tortricid,Adoxophyes melia Clarke,Lepidoptera,Tortricidae,M=x
"Cabbages and related crops, Brassica",old world bollworm,Heliothis armigera (Hübner),Lepidoptera,Noctuidae,M=x
"Cabbages and related crops, Brassica",onion thrips,Thrips tabaci Lindeman,Thysanoptera,Thripidae,B=xY=xM=x
"Cabbages and related crops, Brassica",oriental cabbage webworm,Hellula undalis (F.),Lepidoptera,Pyralidae,B=xM=GC?
"Cabbages and related crops, Brassica",philippine katydid,Phaneroptera furcifera Stål,Orthoptera,Tettigoniidae,P=xM=x
"Cabbages and related crops, Brassica",rice cutworm,Spodoptera litura (F.),Lepidoptera,Noctuidae,B=xY=?T=xP=xK=?M=x
"Cabbages and related crops, Brassica",southern green stink bug,Nezara viridula (L.),Hemiptera,Pentatomidae,B=xY=xT=xP=xM=x
"Cabbages and related crops, Brassica",sweetpotato whitefly,Bemisia tabaci (Gennadius),Homoptera,Aleyrodidae,B=xP=?M=x
"Cabbages and related crops, Brassica",turnip aphid,Lipaphis erysimi (Kaltenbach),Homoptera,Aphididae,M=x
"Cabbages and related crops, Brassica",vegetable leafminer,Liriomyza sativae Blanchard,Diptera,Agromyzidae,M=G
"Cassava, Manihot esculenta",chinese rose beetle,Adoretus sinicus Burmeister,Coleoptera,Scarabaeidae,B=xM=x
"Cassava, Manihot esculenta",citrus mealybug,Planococcus citri (Risso),Homoptera,Pseudococcidae,B=xY=xT=xP=xK=xM=x
"Cassava, Manihot esculenta",coconut scale,Aspidiotus destructor Signoret,Homoptera,Diaspididae,B=xY=xT=xP=xM=x
"Cassava, Manihot esculenta",mealybug,Phenacoccus madeirensis Green,Homoptera,Pseudococcidae,T=nP=nM=G
"Cassava, Manihot esculenta",nigra scale,Parasaissetia nigra (Nietner),Homoptera,Coccidae,B=xY=xT=xK=xM=x
"Cassava, Manihot esculenta",scale,Lepidosaphes similis Beardsley,Homoptera,Diaspididae,B=xY=xP=xM=x
"Cassava, Manihot esculenta",scale,Lepidosaphes similis Beardsley,Homoptera,Diaspididae,B=xY=xP=xM=x
"Cassava, Manihot esculenta",southern green stink bug,Nezara viridula (L.),Hemiptera,Pentatomidae,B=xY=xT=xP=xM=x
"Cassava, Manihot esculenta",spider mite,Tetranychus sp. ,Acari,Tetranychidae,M=C
"Cassava, Manihot esculenta",spider mite,Tetranychus sp. ,Acari,Tetranychidae,M=x
"Cassava, Manihot esculenta",spider mite,Tetranychus truncatus Ehara,Acari,Tetranychidae,M=G
"Cassava, Manihot esculenta",sweetpotato whitefly,Bemisia tabaci (Gennadius),Homoptera,Aleyrodidae,B=xP=?M=x
"Cassava, Manihot esculenta",white peach scale,Pseudaulacaspis pentagona (Targioni-Tozzetti),Homoptera,Diaspididae,B=xT=xM=x
"Cocoa, Theobroma cacao",black citrus aphid,Toxoptera aurantii (Boyer de Fonscombe),Homoptera,Aphididae,T=xM=x
"Cocoa, Theobroma cacao",black twig borer,Xyleborus ferrugineus (F.),Coleoptera,Scolytidae,T=xP=xK=xM=x
"Cocoa, Theobroma cacao",cacao armyworm,Tiracola plagiata (Walker),Lepidoptera,Noctuidae,M=x
"Cocoa, Theobroma cacao",cacao spotted long-horned beetle ,Pelargoderus luteosparsus (Matsushita),Coleoptera,Cerambycidae,B=x
"Cocoa, Theobroma cacao",chinese rose beetle,Adoretus sinicus Burmeister,Coleoptera,Scarabaeidae,B=xM=x
"Cocoa, Theobroma cacao",citrus mealybug,Planococcus citri (Risso),Homoptera,Pseudococcidae,B=xY=xT=xP=xK=xM=x
"Cocoa, Theobroma cacao",coconut scale,Aspidiotus destructor Signoret,Homoptera,Diaspididae,B=xY=xT=xP=xM=x
"Cocoa, Theobroma cacao",cotton or melon aphid,Aphis gossypii Glover,Homoptera,Aphididae,B=xY=xT=xP=xK=xM=x
"Cocoa, Theobroma cacao",derbid hopper,Eusyphax bivittatus (Metcalf),Homoptera,Derbidae,M=G
"Cocoa, Theobroma cacao",fruit piercing moth,Eudocima (Othreis) fullonia (Clerck),Lepidoptera,Noctuidae,B=nP=nK=nM=x
"Cocoa, Theobroma cacao",grey pineapple mealybug,Dysmicoccus neobrevipes Beardsley,Homoptera,Pseudococcidae,M=x
"Cocoa, Theobroma cacao",leaf beetle,Coenobius glochidionis Gressitt,Coleoptera,Chrysomelidae,B=x
"Cocoa, Theobroma cacao",old world bollworm,Heliothis armigera (Hübner),Lepidoptera,Noctuidae,M=x
"Cocoa, Theobroma cacao",phytorus leaf beetle,Phytorus lineolatus Weise,Coleoptera,Chrysomelidae,M=x
"Cocoa, Theobroma cacao",pineapple mealybug,Dysmicoccus brevipes (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Cocoa, Theobroma cacao",proteus scale,Parlatoria proteus (Curtis),Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=G
"Cocoa, Theobroma cacao",redbanded thrips,Selenothrips rubrocinctus (Giard),Thysanoptera,Thripidae,B=nY=nT=nP=x?M=x
"Cocoa, Theobroma cacao",rice cutworm,Spodoptera litura (F.),Lepidoptera,Noctuidae,B=xY=?T=xP=xK=?M=x
"Cocoa, Theobroma cacao",shot-hole borer,Xyleborus similis Ferrari,Coleoptera,Scolytidae,B=xT=xP=xK=xM=x
"Cocoa, Theobroma cacao",southern green stink bug,Nezara viridula (L.),Hemiptera,Pentatomidae,B=xY=xT=xP=xM=x
"Cocoa, Theobroma cacao",striped mealybug,Ferrisia virgata (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Cocoa, Theobroma cacao",tea shot-hole borer,Xyleborus fornicatus Eichhoff,Coleoptera,Scolytidae,B=xY=xP=x
"Coconut palm, Cocos nucifera",aphid,Astegopteryx rhapidis (van der Goot),Homoptera,Aphididae,B=x
"Coconut palm, Cocos nucifera",armored scale,Lepidosaphes esakii Takahashi,Homoptera,Diaspididae,T=xP=xK=xM=x
"Coconut palm, Cocos nucifera",black thread scale,Ischnaspis longirostris (Signoret),Homoptera,Diaspididae,B=xM=G
"Coconut palm, Cocos nucifera",black twig borer,Xyleborus ferrugineus (F.),Coleoptera,Scolytidae,T=xP=xK=xM=x
"Coconut palm, Cocos nucifera",brown soft scale,Coccus hesperidum L.,Homoptera,Coccidae,B=xY=xT=xM=x
"Coconut palm, Cocos nucifera",coconut flat moth,Agonoxena pyrogramma Meyrick,Lepidoptera,Agonoxenidae,T=n?P=n?K=xM=G
"Coconut palm, Cocos nucifera",coconut long-horned beetle,Caroliniella aenescens Blair,Coleoptera,Cerambycidae,T=xK=x
"Coconut palm, Cocos nucifera",coconut long-horned grasshopper ,Segestes unicolor Redtenbacher,Orthoptera,Tettigoniidae,B=x
"Coconut palm, Cocos nucifera",coconut red scale,Furcaspis oceanica Lindinger,Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=x
"Coconut palm, Cocos nucifera",coconut rhinoceros beetle,Oryctes rhinoceros (L.),Coleoptera,Scarabaeidae,B=x
"Coconut palm, Cocos nucifera",coconut scale,Aspidiotus destructor Signoret,Homoptera,Diaspididae,B=xY=xT=xP=xM=x
"Coconut palm, Cocos nucifera",coconut shot-hole borer,Xyleborus perforans (Wollaston),Coleoptera,Scolytidae,B=xY=xT=xP=xK=xM=x
"Coconut palm, Cocos nucifera",coconut stick insect,Acanthograeffea modesta Gunther,Phasmatodea,Phasmatidae,T=xP=x
"Coconut palm, Cocos nucifera",coconut weevil,Diocalandra frumenti (F.),Coleoptera,Curculionidae,B=xT=xM=G
"Coconut palm, Cocos nucifera",denticulate stick insect,Acanthograeffea denticulata (Redtenbacher),Phasmatodea,Phasmatidae,M=x
